CPU counts:  24
n=20, tol=20, tries=300, dist_try=1, d=6, alpha=[0.28571429 0.23809524 0.19047619 0.14285714 0.0952381  0.04761905]
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [10, 5, 4, 1, 0, 0] with error 0.2357
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [8, 5, 4, 3, 0, 0] with error 0.1429
MLE tableau: [4. 4. 4. 4. 4. 0.] with error 0.1714
EYD tableau: [8, 5, 4, 2, 1, 0] with error 0.1357
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [8, 5, 5, 2, 0, 0] with error 0.1857
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [12, 4, 2, 1, 1, 0] with error 0.3143
MLE tableau: [11.  2.  2.  2.  2.  1.] with error 0.2714
EYD tableau: [9, 7, 3, 1, 0, 0] with error 0.2762
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [11, 5, 3, 1, 0, 0] with error 0.2762
MLE tableau: [9. 4. 4. 3. 0. 0.] with error 0.181
EYD tableau: [7, 6, 4, 3, 0, 0] with error 0.1429
MLE tableau: [4. 4. 4. 4. 4. 0.] with error 0.1714
EYD tableau: [8, 6, 4, 1, 1, 0] with error 0.1857
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [8, 6, 4, 1, 1, 0] with error 0.1857
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [10, 5, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [10, 4, 4, 2, 0, 0] with error 0.2238
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [10, 7, 3, 0, 0, 0] with error 0.3262
MLE tableau: [7. 7. 6. 0. 0. 0.] with error 0.2857
EYD tableau: [8, 6, 5, 1, 0, 0] with error 0.2357
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [8, 7, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [11, 5, 3, 1, 0, 0] with error 0.2762
MLE tableau: [9. 4. 4. 3. 0. 0.] with error 0.181
EYD tableau: [10, 5, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [12, 4, 2, 2, 0, 0] with error 0.3143
MLE tableau: [11.  2.  2.  2.  2.  1.] with error 0.2714
EYD tableau: [10, 5, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [9, 5, 4, 1, 1, 0] with error 0.1857
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [12, 5, 2, 1, 0, 0] with error 0.3262
MLE tableau: [11.  3.  2.  2.  2.  0.] with error 0.269
EYD tableau: [8, 5, 3, 3, 1, 0] with error 0.1333
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [10, 6, 3, 1, 0, 0] with error 0.2762
MLE tableau: [6. 5. 5. 4. 0. 0.] with error 0.1429
EYD tableau: [9, 5, 4, 2, 0, 0] with error 0.1857
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [9, 7, 2, 1, 1, 0] with error 0.2762
MLE tableau: [7. 6. 2. 2. 2. 1.] with error 0.1333
EYD tableau: [8, 4, 4, 2, 2, 0] with error 0.1286
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [9, 5, 3, 2, 1, 0] with error 0.1762
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [7, 6, 6, 1, 0, 0] with error 0.2357
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [11, 5, 2, 2, 0, 0] with error 0.2762
MLE tableau: [9. 3. 3. 3. 2. 0.] with error 0.1762
EYD tableau: [10, 6, 2, 2, 0, 0] with error 0.2762
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [9, 5, 5, 1, 0, 0] with error 0.2357
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [9, 5, 4, 2, 0, 0] with error 0.1857
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [10, 5, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [10, 5, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [11, 5, 2, 1, 1, 0] with error 0.2762
MLE tableau: [10.  2.  2.  2.  2.  2.] with error 0.2714
EYD tableau: [8, 5, 4, 3, 0, 0] with error 0.1429
MLE tableau: [4. 4. 4. 4. 4. 0.] with error 0.1714
EYD tableau: [8, 7, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [11, 5, 3, 1, 0, 0] with error 0.2762
MLE tableau: [9. 4. 4. 3. 0. 0.] with error 0.181
EYD tableau: [8, 6, 3, 2, 1, 0] with error 0.1762
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [8, 6, 3, 2, 1, 0] with error 0.1762
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [10, 5, 3, 1, 1, 0] with error 0.2262
MLE tableau: [8. 3. 3. 2. 2. 2.] with error 0.1714
EYD tableau: [11, 6, 2, 1, 0, 0] with error 0.3262
MLE tableau: [8. 8. 1. 1. 1. 1.] with error 0.2786
EYD tableau: [9, 5, 4, 1, 1, 0] with error 0.1857
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [12, 7, 1, 0, 0, 0] with error 0.4262
MLE tableau: [10.  9.  1.  0.  0.  0.] with error 0.4262
EYD tableau: [10, 7, 2, 1, 0, 0] with error 0.3262
MLE tableau: [8. 8. 1. 1. 1. 1.] with error 0.2786
EYD tableau: [8, 4, 4, 3, 1, 0] with error 0.131
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [8, 5, 5, 1, 1, 0] with error 0.1857
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [8, 6, 3, 3, 0, 0] with error 0.1833
MLE tableau: [4. 4. 4. 4. 4. 0.] with error 0.1714
EYD tableau: [10, 5, 4, 1, 0, 0] with error 0.2357
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [8, 6, 4, 2, 0, 0] with error 0.1857
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [10, 5, 3, 1, 1, 0] with error 0.2262
MLE tableau: [8. 3. 3. 2. 2. 2.] with error 0.1714
EYD tableau: [8, 6, 3, 2, 1, 0] with error 0.1762
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [8, 4, 3, 3, 2, 0] with error 0.1262
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [11, 6, 3, 0, 0, 0] with error 0.3262
MLE tableau: [7. 7. 6. 0. 0. 0.] with error 0.2857
EYD tableau: [9, 6, 3, 1, 1, 0] with error 0.2262
MLE tableau: [5. 5. 4. 2. 2. 2.] with error 0.0786
EYD tableau: [9, 6, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [9, 6, 2, 2, 1, 0] with error 0.2262
MLE tableau: [5. 3. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [9, 6, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [8, 7, 3, 1, 1, 0] with error 0.2262
MLE tableau: [4. 4. 4. 4. 2. 2.] with error 0.1238
EYD tableau: [9, 5, 4, 1, 1, 0] with error 0.1857
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [10, 4, 3, 2, 1, 0] with error 0.2143
MLE tableau: [8. 3. 3. 2. 2. 2.] with error 0.1714
EYD tableau: [10, 5, 3, 1, 1, 0] with error 0.2262
MLE tableau: [8. 3. 3. 2. 2. 2.] with error 0.1714
EYD tableau: [8, 6, 5, 1, 0, 0] with error 0.2357
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [8, 7, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [10, 6, 2, 1, 1, 0] with error 0.2762
MLE tableau: [7. 6. 2. 2. 2. 1.] with error 0.1333
EYD tableau: [9, 6, 4, 1, 0, 0] with error 0.2357
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [8, 5, 4, 2, 1, 0] with error 0.1357
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [9, 7, 4, 0, 0, 0] with error 0.2857
MLE tableau: [7. 7. 6. 0. 0. 0.] with error 0.2857
EYD tableau: [10, 7, 2, 1, 0, 0] with error 0.3262
MLE tableau: [8. 8. 1. 1. 1. 1.] with error 0.2786
EYD tableau: [11, 5, 2, 2, 0, 0] with error 0.2762
MLE tableau: [9. 3. 3. 3. 2. 0.] with error 0.1762
EYD tableau: [12, 3, 3, 2, 0, 0] with error 0.3143
MLE tableau: [11.  2.  2.  2.  2.  1.] with error 0.2714
EYD tableau: [12, 5, 3, 0, 0, 0] with error 0.3262
MLE tableau: [10.  5.  5.  0.  0.  0.] with error 0.2857
EYD tableau: [9, 6, 2, 1, 1, 1] with error 0.2286
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [12, 6, 2, 0, 0, 0] with error 0.3762
MLE tableau: [9. 8. 3. 0. 0. 0.] with error 0.3262
EYD tableau: [9, 5, 5, 1, 0, 0] with error 0.2357
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [9, 6, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [9, 6, 2, 1, 1, 1] with error 0.2286
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [8, 6, 3, 2, 1, 0] with error 0.1762
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [7, 6, 4, 3, 0, 0] with error 0.1429
MLE tableau: [4. 4. 4. 4. 4. 0.] with error 0.1714
EYD tableau: [11, 5, 4, 0, 0, 0] with error 0.2857
MLE tableau: [7. 7. 6. 0. 0. 0.] with error 0.2857
EYD tableau: [11, 6, 2, 1, 0, 0] with error 0.3262
MLE tableau: [8. 8. 1. 1. 1. 1.] with error 0.2786
EYD tableau: [12, 5, 2, 1, 0, 0] with error 0.3262
MLE tableau: [11.  3.  2.  2.  2.  0.] with error 0.269
EYD tableau: [10, 6, 2, 1, 1, 0] with error 0.2762
MLE tableau: [7. 6. 2. 2. 2. 1.] with error 0.1333
EYD tableau: [9, 6, 4, 1, 0, 0] with error 0.2357
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [11, 5, 3, 1, 0, 0] with error 0.2762
MLE tableau: [9. 4. 4. 3. 0. 0.] with error 0.181
EYD tableau: [8, 5, 3, 2, 1, 1] with error 0.1286
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [7, 5, 4, 3, 1, 0] with error 0.0929
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [8, 6, 3, 2, 1, 0] with error 0.1762
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [10, 5, 3, 1, 1, 0] with error 0.2262
MLE tableau: [8. 3. 3. 2. 2. 2.] with error 0.1714
EYD tableau: [8, 7, 3, 2, 0, 0] with error 0.2262
MLE tableau: [5. 5. 5. 5. 0. 0.] with error 0.1786
EYD tableau: [9, 5, 3, 2, 1, 0] with error 0.1762
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [9, 4, 4, 2, 1, 0] with error 0.1738
MLE tableau: [4. 4. 3. 3. 3. 3.] with error 0.1643
EYD tableau: [9, 7, 2, 1, 1, 0] with error 0.2762
MLE tableau: [7. 6. 2. 2. 2. 1.] with error 0.1333
EYD tableau: [12, 5, 2, 1, 0, 0] with error 0.3262
